,title,lyrics
0,In a Crowd of Thousands,it was june. i was ten. i still think of that day now and then. a parade and a girl. and a crowd of thousands. she sat straight as a queen. only eight but so proud and serene. how they cheered. how i stared. in that crowd of thousands. . then i started to run. and to call out her name. as the crowd on the road went wild. i reached out with my hand and looked up. and then she smiled. . the parade travelled on. with the sun in my eyes she was gone. but if i were still ten. in that crowd of thousands. id find her again. . . youre making me feel i was there too. . . maybe you were. make it part of your story. . a parade. . . a parade. . . passing by. . . passing by. . . it was hot. not a cloud in the sky. then a boy. caught my eye. . . in a crowd of thousands. . . he was thin. not too clean. there were guards. but he dodged in between. . yes he made himself seen. in that crowd of thousands. . then he called out my name. and he started to run. through the sun and heat and the crowd. and i tried not to smile but i smiled. and then. he bowed. . i didnt tell you that. . . you didnt have to. i remember. . . the parade travelled on. with the sun in my eyes you were gone. but i knew even then. in a crowd of thousands. id find you again. . your highness
1,A Rumor in St. Petersburg,the neva flows a new wind blows. and soon it will be spring. . we hear you comrades. the revolution hears you. together we will forge a new russia that will be the envy of all the world. the tsar's st. petersburg is now the people's leningrad. . . they can call it leningrad but it will always be petersburg. . new name same empty stomachs. . . sung. they tell us times are better. well i say they're not. can't cook an empty promise in an empty pot. a brighter day is dawning it's almost at hand. the skies are gray the walls have ears. and he who argues disappears. . . hail our brave new land. . st. petersburg is booming. a city on the rise. . it's really very friendly. . . if you don't mind spies. . . we stand behind our leaders. . . and stand in line for bread. . . we're good and loyal comrades. and our favorite color's red. . . now everyone is equal. professors push the brooms. . . twodozen total strangers live in two small rooms. you hold a revolution. and here's the price you pay. thank goodness for the gossip. . . спасибо за слухи. . . thank goodness for the gossip. that gets us through the day. . hey. have you heard. there's a rumor in st. petersburg. have you heard. what they're saying on the street. . . although the tsar did not survive. one daughter may be still alive. . . the princess anastasia. . . but please do not repeat. . . it's a rumor a legend a mystery. something whispered in an alleyway. or through a crack. it's a rumor that's part of our history. . . they say her royal grandmama will pay a royal sum. . . to someone who can bring the princess back. . . dmitry they've closed another border. . we should've gotten out of russia while we still could. . sung. st. petersburg was lovely when royalty was in. i called myself a count as though i'd always been. i hobnobbed with the royals but then a change of luck. the tsar was dead the royals fled. and comrade now we're stuck. . . vlad i've been thinking about the princess anastasia. . . . oh not you too dmitry. . . it's the rumor the legend the mystery. it's the princess anastasia who will help us fly. you and i friend will go down in history. we'll find a girl to play the part and teach her what to say. dress her up and take her to paris. . . imagine the reward her dear old grandmama would pay. . . who else could pull it off but you and me. . no. . . it was a truck backfiring comrade. that's all it was. . those days are over neighbor against neighbor. there's nothing to be afraid of anymore.nbps. you're shaking. there's a tea shop just steps from here. let me. . . thank you. . . . what's your hurry. . . i can't lose this job. they're not easy to come by. but thank you. . . . i'm here every day. . . a ruble for this painting. it's romanov i swear. . . count yusupov's pajamas comrade. buy the pair. . . i found this in a palace. initialed with an a. it could be anastasia's. now what will someone pay. . . we need something of hers to show the old lady. . how much is that music box. . . ah the music box. it's genuine romanov i could never part with it. . . two cans of beans comrade. . . done. . . . do you believe in fairytales vlad. . . once upon a time i did. . . we're going to create a fairytale the whole world will believe. . sung. now it's risky but not more than usual. we'll need papers we'll need tickets we'll need nerves of steel. . . yes it's risky a lot more than usual. . . we'll try to cross the border with our princess and our plot. . . hopefully disaster won't ensue. . . with luck it all goes smoothly. . . and with luck we won't be shot. . . who else could pull it off but me and you. . . we'll be rich. . . we'll be rich. . . we'll be out. . . we'll be out. . . and st. petersburg will have some more to talk about. . . i heard it from a person i heard it from a person. i heard it from a person who a person who. assured me it was absolutely true. shh. . have you heard. there's a rumor in st. petersburg. have you heard. comrade what do you suppose. . . a fascinating mystery. . . the biggest con in history. . . the princess anastasia. alive or dead. who knows. shh
2,Wake Up,i don't wanna wake up. i want you spread out on the sheets. said pussy so good. uh pussy so sweet uh. i don't wanna wake up. i want it flowin' through my streams. gettin' me hot. under my feet. i don't wanna wake up. . . please don't wake me up i feel it creepin' yeah. controllin' how you movin' lucid dreamin' dreams. always on the side of different seasons yeahyeah. took the beltway down to your hood it's lit. say you was in the crowd i never looked. lookin' back how things came back around guess i was hooked. burn the bread and then we burn the town we both was cooked yeah. nah nah please don't wake me up feel like i'm dreamin'. any given sunday you can get it willie beamen. i can make your mondays even better like the weekend yeah. that's my coco i'm her icet coco yeah yeah. bend her over for some pipin' it's lit. bust a cloud shoot the lightnin' pop it. pop it now know we can't sleep sleep. . . i don't wanna wake up yeah. want you spread out on the sheets it's lit. say pussy so good pop it. oh pussy so sweet yeah. when i wake up yeah yeah. want a drop top on the beach straight up. gettin' me hot yeah yeah. under my feet. when i wake up. . . you decide if i live or die. when you're close i'm alive i can feel the sky. i just want your body close to me oh. and if i o.d. i'll be alone with no heartbeat. i hope they kill us with a ghost in the lambo'. and the doors goin' up suicide. . . i don't wanna wake up i don't wanna wake up. i want you spread out on the sheets want you spread out on the sheets. 'cause that pussy so good pussy so good yeah. girl that pussy so sweet pussy so sweet. i don't wanna wake up i don't wanna wake up. i want it flowin' through my streams want it flowin' through my streams. ha gettin' me hot gettin' me hot. oh under my feet my feet. i don't wanna wake up yeah
3,No,my mind is invaded. my gates are ignored. my thoughts are negated. and you're on a roll. . . and i am offended. by your acts of shamelessness. your lack of conscience. and your flagrant steamroll. what part of no do you not understand. do you not understand. . . what part of no do you not understand. do you not understand. . . my sorrow is left off. my rages discounted. . . my fears are founded. this dam is no more. . . what part of no do you not understand. do you not understand. what part of no do you not understand. do you not understand. don't touch me. my body is frozen. thanks to you. and i've sat with these secrets. i'm no longer willing to. what part of no do you not understand. do you not understand. what part of no do you not understand. do you not understand. . . it's easy not to. . . what goes around so much easier not to. to you.... wake up. . what part of no. do you not understand
4,Perfect,sometimes is never quite enough. if you're flawless then you'll win my love. don't forget to win first place. don't forget to keep that smile on your face. . how long before you screw it up. and how many times do i have to tell you to hurry up. with everything i do for you. the least you can do is keep quiet. . be a good boy. you've got to try a little harder. that simply wasn't good enough. to make us proud. . i'll live through you. i'll make you what i never was. if you're the best then maybe so am i. compared to him compared to her. i'm doing this for your own damn good. you'll make up for what i blew. what's the problem why are you crying. . be a good boy. push a little farther now. that wasn't fast enough. to make us happy. we'll love you just the way you are. if you're perfect
5,You Shine,mmy spoken. now ive just pulled up in my dads car. mimics breaks squealing and a horn honking. and youre in your pink dress. . sue spoken. blue. . tommy spoken. oooh you always look great in blue. and im wearing my rental tux looking like a total dork. the whole things kinda cheesy but nice. then you drag me onto the dance floor and of course i hate dancing but its the last dance of senior year. and im with the most incredible person i know. . sue spoken. me yeah right. all i do lately is mess up. . tommy spoken. i mean it you dont give yourself enough credit. . tommy. if you could see the. way that you look to me. i bet that you'd be amazed at the sight. you'd see a heart that's. fearless and true. from my point of view. oh you shine. . sue spoken. what about you why is everything so easy for you. . tommy spoken. man if you only knew. half the time i'm just faking it hoping that no one will discover i'm a complete fraud. . sue. i think you hide so much you feel inside. but i know deep down there's. a fire burning bright. from where you stand. it might not be clear. but you shine from here. . both. no doubts no more fears. i see you shine and the dark disappears. . tommy. then i know everything is gonna be fine. because you shine oh how you shine. you shine. . sue spoken. what a surprise gazing into your eyes. i swear that i still. get lost in the light. no photograph could possibly show. the you i know. . both. no doubts no more fears. i see you shine and the dark disappears. i'll be your mirror and you can be mine. look to me and you'll see. just how you shine. . tommy spoken. oh damn i have to go pick up my tux before they close. . sue spoken. tommy thank you. . tommy spoken. i love you. . sue spoken. i love you. he'd never said that before. that's what i remember. most about that day. . sue. no doubts no more fears. i see you shine and the dark disappears. then i know everything is gonna be fine. because you're mine. you shine
6,All I Really Want,do i stress you out. my sweater's on backwards and inside out. and you say how appropriate. . . and i'd like to dissect everything today. i don't mean to pick you apart you see. but i can't help it. . . and there i go jumping before the gun shot has gone off. slap me with a splintered ruler. . and it would knock me to the floor if i wasn't there already. if only i could hunt the hunter. . . and all i really want. is some patience. a way to calm the angry voice. . . and all i really want. is deliverance. ahh. . . do i wear you out do i wear you out. you must wonder why i'm relentless and all strung out. i'm consumed by the chill of solitary ahh. . . i'm like estella. i like to reel it in. . . and then spit it out. i'm frustrated by your apathy your apathy your apathy... . . and i am frightened by the corrupted ways of this land. if only i could meet the maker. and i am fascinated by the spiritual woman. . . i'm humbled by her humble nature yeah. and what i wouldn't give to find a soul mate. someone else to catch this drift. and what i wouldn't give to meet a kindred. ahh. . . enough about me. let's talk about you for a minute. . . enough about you. let's talk about life for a while. . . the conflicts. . . the craziness. . . and the sound of pretenses is falling. all around all around. . . why are you so petrified of silence. here can you handle this. .                                                                  . did you think about your bills                                bills. your pills                                                                    pills. your deadlines                                                          deadlines. or when you think you're going to die               you're gonna die. or did you long for the next distraction             mmm... . and all i need now is intellectual intercourse       do do do.... a soul to dig the hole much deeper                      oh oh oh. . . and i have no concept of time                                do do do.... other than it is flying. . . if only i could kill the killer                                        ah ah ah... . . and all i really want is some peace man. a place to find some common ground. . . and all i really want is a wavelength. ahhh. . . and all i really want is some comfort ohh. a way to get my hands untied ohh. . . and all i really want is some justice ohh. . . ahh. . . ahhh. and all i really want is some patience. a way to calm me down. . . and all i really want is deliverance. a way to find some common ground
7,My Petersburg,i grew up on the sly. in the gutters and the streets of petersburg. just a kid on the fly. getting good at getting by in petersburg. . i've bartered for a blanket stolen for my bread. learned to take my chances. and use my head. a russian rat is clever. clever or he ends up dead. . boils down to. there are some who survive some who don't. some give up some give in. me i won't. black and blue welcome to my petersburg. . standing here you can see. from the spires to the piers of petersburg. i'd be down on that quay. selling stolen souvenirs of petersburg. . the palaces above and alleyways below. funny when a city is all you know. how even when you hate it. something in you loves it so. . that's where i learned my stuff. in some rough company. there's a boy growing up who was me. all i've been all i'll be. . we can do what we're told. we can go where we're led. but i learned from my father to see what's ahead. nothing here to hold me. no one that i owe. funny how a boy can grow. funny how a city tells you when it's time to go. . boils down to. there are some who have walls yet to climb. you and i on the fly just in time. but tonight theres a sky and quite a view. . welcome to.... my petersburg
8,Paris Holds the Key (To Your Heart),voilà mes amis here's paris. now that we're here follow me. begin with the view as you stroll down la rue. . and soon all paris will be singing to you. ooh. ahh ah. paris holds the key to your heart. and all of paris plays a part. paris turned a page to the new modern age. . . and we'll do it too if we're smart. . . the french have it down to an art. . . everyone's a writer painter poet. everything is avantgarde or chic. . . we'll be in the know before we know it. . . when you're in the know it's oh it's magnifique. to find in paris what you seek. . . . . paris holds the key to her fate. we won't have much longer to wait. and then come what may. we will each go our way. . . i dreamed of a city beyond all compare. it's hard to believe that i'm finally there. . . at last there's a future. . . there's freedom. . . there's hope. . . in the air. . . ahh ahh ahh. . . paris holds the key to your heart. the pleasures of life à la carte. come dance through the night and forget all your woes. the city of light how it glitters and glows. and one never knows what will start. paris hold the key to your heart
9,Learn to Do It,how do you become the person you've forgotten you ever were. . . take a deep breath. . close your eyes and imagine another time. another world. . . sung. you were born in a palace by the sea. . . a palace by the sea. . . could it be. . . yes it's so. you rode horseback when you were only three. . . horseback riding me. . . horse's name. . . romeo. you threw tantrums and terrorized the cook. ha how the palace shook. . . charming child. . . wrote the book. sung. but you'd behave when you father gave that look. . . imagine how it was. your long forgotten past. . . we've lots and lots to teach you and the time is going fast. . . let's see you walk. . head up regal bearing. . sung. now shoulders back and stand up tall. and do not walk but try to float. . . i feel a little foolish. am i floating. . . like a sinking boat. . . you give a bow. . . what happens now. . . your hand receives a kiss. . . most of all remember this. . . if i can learn to do it. you can learn to do it. . . something in you knows it. . . there's nothing to it. . . follow in my footsteps. shoe by shoe. . . you can learn to do it too. . . now elbows in and sit up straight. and do not slurp the stroganoff. . . i never cared for stroganoff. . . she said that like a romanov. . . the samovar. . . the caviar. . . dessert and then goodnight. . . not until you get this right. . . if i can learn to do it. . . if he can learn to do it. . . you can learn to do it. . . you can learn to do it. . . pull yourself together. . . and you'll pull through it. . . tell yourself it's easy. . . and it's true. you can learn to do it too. . . who is your greatgrandmother. . . queen victoria. . . greatgreat grandmother. . . uh... princess victoria of saxecolburgsaalfeld. . . your best friend is. . . my little brother alexei. . . wrong your best friend is. . . i know who my best friend is. . . what a temper. . . i don't like being contradicted. . . that makes two of us. . . continuing on.... . . i've had it and i hate you both. i'm sorry that we ever met. i'm hungry i'm frightened. and i'm only human don't forget. i don't remember anything. get out and let me be. . anya darling look at me.... . we're all frightened. well slightly now and then. shall we start again. take a breath count to ten. you have courage. and strength you barely know. so blow that little nose. and dry those pretty eyes. a princess like your majesty. can do this if she tries. ready. . . set. . . go. . . now here's your great aunt olga. . . how she frolicked on the volga. . . oh. . . your distant cousin vanya loved his vodka. . . got it anya. . . no. . . the duke of oldenburgh was short. . . louise of boden. . . had a. . . wart. . . count sergei. . . wore a feathered hat. . . i hear he's gotten very fat. . . and i recall his yellow cat. . i don't believe we told her that.... . . if you can learn to do it. . . if i can learn to do it. . . he can learn to do it. . . you can learn to do it. . . pull yourself together. . . and we'll pull through it. . . tell yourself it's easy. . . and it's true. . . you can learn to do it. . . nothing to it. . . you can learn to do it.... . . the caviar the stroganoff the samovar the feathered hat. the cousin drank the duke was short here a wart and there a cat. . the horse's name was romeo so tell me something new. . . ha. . . you can learn to do it too
